"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","12-Aug-2016","       1014.10","       1017.00","       1042.90","       1017.00","       1032.55","       1035.80","       1032.80","    3740861","          3863571902.25","     104993"
"RELIANCE","EQ","16-Aug-2016","       1035.80","       1036.25","       1044.80","       1015.50","       1023.65","       1024.90","       1028.02","    3055603","          3141211271.35","      87377"
"RELIANCE","EQ","17-Aug-2016","       1024.90","       1024.10","       1028.80","       1007.20","       1014.00","       1013.30","       1015.54","    3539970","          3594983478.75","      88744"
"RELIANCE","EQ","18-Aug-2016","       1013.30","       1016.00","       1023.65","       1016.00","       1018.00","       1018.05","       1019.00","    1771449","          1805112794.65","      76822"
"RELIANCE","EQ","19-Aug-2016","       1018.05","       1018.00","       1022.00","       1007.10","       1013.30","       1014.90","       1015.51","    1869308","          1898300778.70","      59860"
"RELIANCE","EQ","22-Aug-2016","       1014.90","       1012.00","       1019.70","       1007.20","       1010.05","       1011.85","       1012.82","    1527904","          1547496175.95","      72620"
"RELIANCE","EQ","23-Aug-2016","       1011.85","       1012.00","       1015.00","       1005.00","       1011.20","       1010.45","       1010.12","    1673328","          1690268898.65","      53304"
"RELIANCE","EQ","24-Aug-2016","       1010.45","       1011.70","       1021.95","       1011.00","       1021.25","       1020.50","       1017.13","    1993153","          2027291124.05","      67902"
"RELIANCE","EQ","25-Aug-2016","       1020.50","       1021.20","       1029.00","       1009.00","       1013.95","       1012.70","       1017.92","    3419775","          3481068524.70","      82485"
"RELIANCE","EQ","26-Aug-2016","       1012.70","       1017.90","       1030.80","       1014.60","       1026.60","       1027.90","       1024.82","    2203465","          2258151954.70","      79842"
"RELIANCE","EQ","29-Aug-2016","       1027.90","       1027.25","       1059.75","       1026.10","       1059.30","       1057.45","       1046.10","    3701495","          3872133054.60","      90569"
"RELIANCE","EQ","30-Aug-2016","       1057.45","       1062.00","       1068.50","       1053.00","       1064.75","       1066.40","       1062.92","    4153522","          4414855721.20","     118180"
"RELIANCE","EQ","31-Aug-2016","       1066.40","       1064.90","       1074.00","       1047.00","       1047.90","       1060.00","       1063.92","    5324960","          5665324906.65","     210357"
"RELIANCE","EQ","01-Sep-2016","       1060.00","       1053.00","       1072.75","       1025.70","       1028.05","       1029.20","       1050.52","    9742454","         10234626988.90","     193607"
"RELIANCE","EQ","02-Sep-2016","       1029.20","       1031.10","       1032.55","       1002.30","       1013.00","       1013.35","       1013.84","    6428814","          6517819697.65","     133004"
"RELIANCE","EQ","06-Sep-2016","       1013.35","       1019.90","       1025.00","       1015.00","       1021.70","       1019.90","       1019.30","    2631091","          2681861446.30","      73178"
"RELIANCE","EQ","07-Sep-2016","       1019.90","       1022.00","       1027.05","       1013.05","       1017.00","       1017.65","       1019.15","    2954995","          3011590628.15","      87614"
"RELIANCE","EQ","08-Sep-2016","       1017.65","       1023.05","       1035.95","       1020.20","       1034.00","       1033.40","       1030.87","    2790196","          2876333145.30","      90566"
"RELIANCE","EQ","09-Sep-2016","       1033.40","       1035.00","       1049.90","       1030.00","       1041.50","       1044.55","       1042.48","    3490441","          3638707846.10","      69385"
"RELIANCE","EQ","12-Sep-2016","       1044.55","       1030.40","       1056.00","       1029.15","       1046.95","       1046.50","       1046.99","    7699800","          8061595468.55","     101157"
"RELIANCE","EQ","14-Sep-2016","       1046.50","       1048.00","       1059.00","       1040.90","       1043.00","       1044.75","       1049.20","    4252754","          4461991599.45","      95815"
"RELIANCE","EQ","15-Sep-2016","       1044.75","       1047.00","       1070.20","       1047.00","       1064.80","       1065.00","       1055.37","    7170885","          7567970041.20","      64639"
"RELIANCE","EQ","16-Sep-2016","       1065.00","       1067.00","       1093.85","       1059.10","       1072.90","       1075.55","       1080.30","    8988926","          9710711353.05","     151282"
"RELIANCE","EQ","19-Sep-2016","       1075.55","       1072.55","       1088.00","       1071.00","       1083.00","       1082.40","       1080.96","    3812324","          4120984369.25","      81518"
"RELIANCE","EQ","20-Sep-2016","       1082.40","       1084.00","       1084.75","       1069.05","       1073.55","       1074.20","       1076.13","    2635854","          2836524443.20","      65326"
"RELIANCE","EQ","21-Sep-2016","       1074.20","       1074.00","       1084.90","       1069.00","       1070.00","       1072.25","       1075.51","    2501476","          2690360397.95","      66182"
"RELIANCE","EQ","22-Sep-2016","       1072.25","       1083.00","       1095.80","       1079.00","       1086.95","       1088.95","       1090.17","    4288544","          4675251073.25","      82688"
"RELIANCE","EQ","23-Sep-2016","       1088.95","       1089.00","       1109.45","       1089.00","       1101.60","       1102.80","       1100.28","    7105725","          7818310313.15","      81712"
